职业,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Ushinotokimairi,丑时之女,呪詛,鉄槌,丑三つ,憎悪,復讐,,,,,,,,,,,,
Stalker,跟踪狂,怪人,可疑人物,歪曲的爱,犯罪,,,,,,,,,,,,,
Samurai,武士,剑士,剑圣,呼吸法,柱,妖刀,村雨,雨落狂流,千子村正,回天,,,,,,,,
HimeFox,姬狐,公主,念杀,献祭,,,,,,,,,,,,,,
RemoteWorker,在宅者,每天,睡不醒,小逗比,在睡,,,,,,,,,,,,,
MindPsychic,念缚灵能者,读心术,心灵感应,超能力者,脑电波,你心里想的我都知道,念力守护,念话,,,,,,,,,,
Cursed,被诅咒者,被诅咒,倒霉蛋,扫把星,厄运缠身,天谴,天煞孤星,诅咒之子,一切都不顺,恶魔的低语,,,,,,,,
ApprenticeSeer,见习占卜师,徒弟,实习生,研修生,菜鸟,实习占卜师,见习生,学徒,修行中,,,,,,,,,
Teruteru,晴天娃娃,扫晴娘,祈晴,阴转晴,天气预报,拜托了放晴吧,雨停了,出太阳了,求幸存,,,,,,,,,
ButaOtoko,猪男,猪男,野猪,养猪户,豚鼠,被吃掉,红烧肉,炸猪排,回锅肉,成为食物,,,,,,,,
MinionSelector,仆从选择者,钦点,点将,指名,选择谁呢,人选,指定,点名,让谁当就谁当,,,,,,,,,
QuantumPlayer,量子人类,量子力学,薛定谔的猫,平行世界,观测者,既死又活,多重宇宙,叠加态,坍缩,,,,,,,,,
GotChocolate,巧克力,本命巧克力,义理巧克力,自制巧克力,买来的,甜到腻,苦涩,友情的证明,心之钥匙,,,,,,,,,
MadDog,狂犬,狂犬,疯狗,狂吠,咬死你,狂犬病,吠叫,撕咬,疯狗咬人,疯犬传人,,,,,,,,
Hypnotist,催眠师,催眠师,催眠,数羊,入睡,沉睡,醒来,被催眠了,眼皮沉重,晚安,,,,,,,,
CraftyWolf,狡猾的狼,阴险狡诈,老奸巨猾,笑面虎,两面三刀,笑里藏刀,城府极深,算无遗策,心机boy,老油条,,,,,,,,
Shishimai,狮子舞,狮子舞,舞狮,福狮,招财狮,狮子头,咀嚼,咀嚼声,咬一口,狮子,福到了,,,,,,,
Pumpkin,南瓜魔,南瓜灯,杰克灯,万圣节,不给糖就捣蛋,杰克南瓜头,万圣节快乐,不给糖就捣蛋,讨糖,,,,,,,,,
MadScientist,疯狂科学家,疯狂科学家,科学怪人,弗兰肯斯坦,禁忌的研究,人体实验,尤里卡,疯狂博士,变成仆从,,,,,,,,,
SpiritPossessed,恶灵凭依,被附身,恶灵缠身,驱魔,大法师,灵媒,招魂,通灵,除灵,灵异事件,贞子,,,,,,,
Forensic,法医学者,法医,验尸官,解剖,尸检,死因,证据,推理,真相只有一个,鉴识科,法医秦明,,,,,,,
Cosplayer,黑骑士,黑骑士,漆黑之铠,背叛者,哲尔,觉醒,晓,圣盾,奥斯曼,斯巴达,,,,,,,,
TinyGhost,妖怪,妖精,幽灵,鬼魂,亡灵,幽灵公主,成佛,三途川,彼岸,百鬼夜行,存在感稀薄,,,,,,,
Ninja,忍者,忍者,忍术,手里剑,影分身,暗杀,火遁,替身术,隐身,幕府,侦查,,,,,,,
Twin,双胞胎,双子,双生子,心灵感应,复制人,克隆人,镜面反射,同步率,二心同体,左右互搏,南辕北辙,,,,,,,
Hunter,狩猎者,猎人,狩猎,猎物,猛禽,捕食者,野外生存,猎人协会,全职猎人,赏金猎人,同归于尽,,,,,,,
MadHunter,复仇者,复仇鬼,归来者,怨念,讨伐,复仇者联盟,以牙还牙,以眼还眼,复仇之手,天道好轮回,复仇,,,,,,,
MadCouple,尖叫狂人,尖叫,惨叫,悲鸣,咆哮,哭嚎,高分贝,噪音污染,震耳欲聋,声波武器,狼人夜聊,,,,,,,
Emma,阎魔,阎魔大王,地狱,三途川,死后审判,判官,生死簿,十八层地狱,牛头马面,赛博阎魔,孟婆,,,,,,,
EyesWolf,瞳狼,魅惑之瞳,石化魔眼,直死之瞳,邪王真眼,凝视,视线,心动,瞳孔地震,目力,眼神交流,,,,,,,
TongueWolf,舌祸狼,巧舌如簧,三寸不烂之舌,口若悬河,祸从口出,舌战群儒,嘴炮,话术,煽动,游说,巧舌,,,,,,,
BlackCat,黑猫,黑猫,招财猫,厄运之猫,魔女的宠物,猫又,叉子,猫眼,幸运,厄运,黑猫警长,,,,,,,
Idol,偶像,偶像,明星,艺人,国民老婆,女神,应援,演唱会,握手会,粉丝团,应援团,偶像活动,,,,,,
XianFox,仙狐,仙狐,仙人,蓬莱,羽化登仙,长生不老,仙境,修仙,得道成仙,狐仙,八仙过海,,,,,,,
SnowLover,雪女,雪女,冰山美人,绝对零度,暴风雪,冰冻,寒冷,冰结,冰之女神,冻伤,冰雪女王,,,,,,,
Raven,乌鸦,乌鸦,八咫鸦,报丧鸟,不祥之兆,凶鸟,黑色羽毛,同类减少,死亡预告,灾厄,厄运,,,,,,,
DecoyWolf,囮狼,诱饵,替死鬼,挡箭牌,弃子,牺牲品,肉盾,吸引火力,钓鱼,转移伤害,替身,,,,,,,
LunaticLover,狂爱者,病娇,恋爱脑,执念,情痴,爱到发狂,爱着爱着就杀了,疯狂的爱,跟踪狂,病娇宣言,,,,,,,,
HomeComer,探亲者,回老家,归省,故乡,家,落叶归根,返乡,老家,回乡探亲,稻香,故乡的云,,,,,,,
Illusionist,奇术师,魔术师,戏法,幻术,障眼法,把戏,幻觉,虚幻,海市蜃楼,梦幻泡影,障眼法,,,,,,,
DragonKnight,龙骑士,龙骑士,屠龙者,驯龙高手,骑龙,飞龙在天,龙息,龙骨,龙蛋,屠龙勇士,恶龙咆哮,,,,,,,
Satori,觉,读心,透视,心眼,洞察,心灵感应,读心术,心灵之眼,知心,觉悟,觉醒,,,,,,,
Dracula,德古拉,吸血鬼伯爵,德拉古拉,吸血鬼之王,古堡,棺材,蝙蝠,永生,不朽,该隐,吸血鬼始祖,,,,,,,
VampireClan,吸血鬼的眷属,眷属,血仆,下位吸血鬼,仆从,眷族,下属,吸血鬼眷属,血的奴隶,眷属者,眷属,,,,,,,
Elementaler,精灵术士,精灵,元素师,地水火风,自然之力,契约,召唤,精灵魔法,元素使,德鲁伊,精灵守护,,,,,,,
Poet,诗人,诗人,吟游诗人,诗歌,文艺,文艺复兴,莎士比亚,唐诗宋词,风花雪月,文艺青年,文艺范,,,,,,,
Amanojaku,天邪鬼,天邪鬼,别扭,嘴硬心软,反骨,说反话,逆反心理,别扭怪,反向操作,唱反调,顺拐,,,,,,,
Ascetic,苦修士,苦行僧,修行,悟道,涅槃,出家,得道高僧,苦修,冥想,顿悟,立地成佛,,,,,,,
DarkClown,暗小丑,小丑,道化师,皮笑肉不笑,笑面虎,黑色幽默,小丑竟是我,小丑竟在我身边,哭脸,小丑回魂,,,,,,,,
DualPersonality,二重人格,双重人格,两个人格,表里不一,精分,人格分裂,两个我,里人格,表人格,切换,精分,,,,,,,
AbsoluteWolf,绝对狼,绝对,无敌,必胜,不可避,必杀,确信,绝对击杀,绝对不能输,绝对领域,绝对支配,,,,,,,
Oracle,预言者,预言家,先知,预言,预知未来,天启,启示,命运,宿命,胜利预警,神谕,,,,,,,
NightRabbit,夜兔,月兔,月亮兔子,捣药,嫦娥,玉兔,胡萝卜,月亮,监听狼人,超高速,,,,,,,,
GachaAddicted,课金者,FGO玩家,非酋,土豪,豹子头,充钱,抽卡,沉船,保底,玄不改非氪能命,FGO玩家,,,,,,,
Fate,命运之子,命运,天命,宿命,被选中的人,天选之子,注定,世界意志,主角光环,变身,命运之轮,,,,,,,
Synesthete,通感者,通感,联觉,五感相通,感官交错,共感,第六感,超感官,知觉,感官共享,五感全开,,,,,,,
Reindeer,驯鹿,驯鹿,红鼻子,鲁道夫,圣诞老人座驾,鹿角,北极,圣诞,麋鹿,替圣诞老人死,北极圈,,,,,,,
Streamer,主播,主播,直播,实况,配信,感谢,关注,点歌,打赏,订阅,广播,感谢礼物,,,,,,
Listener,直播观众,观众,听众,潜水,弹幕,评论,点赞,关注,订阅,观看,粉丝,,,,,,,
QueenOfNight,月下美人,月下,月光女神,月夜,满月,夜之女王,赏月,月姬,夜晚,月光林,月下美人,,,,,,,
Tarzan,野孩子,野人,泰山,丛林之王,野生,野性,人猿泰山,丛林,原始部落,数狼人,野性,,,,,,,
CurseWolf,咒狼,诅咒之狼,厄运,凶兆,邪,灾厄,祸,怨念,咒怨,诅咒之子,被诅咒的狼,,,,,,,
Hitokotonushinokami,一言主神,一言,主,言出法随,神谕,显现,神降,言灵,神的命令,神意,投票加成,,,,,,,
IntuitionWolf,直觉型狼,直觉,第六感,本能,灵感,直感,动物本能,嗅觉,直觉告诉我,直觉系,野性直觉,,,,,,,
Lorelei,罗蕾莱,塞壬,海妖,魅惑,歌声,海之妖精,诱惑,沉船,魅惑之歌,海妖塞壬,海之歌声,,,,,,,
Gambler,赌徒,赌神,赌圣,赌侠,一掷千金,梭哈,全押,开大,豹子,同花顺,赌王之王,,,,,,,
Faker,老千,千术,出千,作弊,欺诈,诡计,魔术手,障眼法,老千,千王之王,出老千,,,,,,,
SealWolf,印狼,印,封印,契约,印记,符号,刻印,咒印,封条,投票加成,契约之印,,,,,,,
CynthiaWolf,月狼,月亮,月牙,新月,残月,三日月,满月,月神,月读,月姬,月光,月光獠牙,,,,,,
Trickster,恶作剧妖精,恶作剧,捣蛋鬼,皮,小恶魔,捣蛋,戏弄,玩笑,整蛊,命运共同体,捣蛋鬼,,,,,,,
Sleepwalker,梦游患者,梦游,梦,睡眠,梦话,梦游中,清醒梦,梦境,第三晚觉醒,梦醒时分,梦境行者,,,,,,,
Disguised,变装者,变装,伪装,假面,乔装,潜入,伪装者,马甲,替身,皮套,伪装大师,易容术,,,,,,
Oni,鬼,鬼,恶魔,恶鬼,鬼族,角,鬼怪,鬼神,百鬼夜行,饿鬼,鬼婆婆,,,,,,,
Saint,圣子,圣,圣女,神之子,受难,奇迹,神圣,玛利亚,圣人,成圣,圣徒,,,,,,,
NetherWolf,冥狼,冥界之狼,幽冥,黄泉,冥府,冥夜,冥王,冥界,冥夜之狼,三途川,窥视灵界,,,,,,,
DarkWolf,暗狼,暗黑之狼,黑暗,闇,影,漆黑,暗夜,暗影,漆黑一片,暗夜之狼,隐藏票数,闇之狼,,,,,,
Acrobat,杂耍艺人,杂耍,马戏,特技,曲艺,杂技,马戏团,小丑,空中飞人,走钢丝,躲避袭击,,,,,,,
Hanami,赏花客,花见,赏樱,樱花,春之宴,花季,春日,樱花季,野餐,赏花大会,,,,,,,,
GoldOni,金鬼,金鬼,黄金,财宝,宝藏,金山,金库,发财,土豪,黄金遍地,发财致富,,,,,,,
BloodWolf,血狼,血狼,鲜血,嗜血,流血,血色,血红,血腥,吸血,鲜血淋漓,自爆封印,,,,,,,
Reincarnator,转生者,转生,转世,轮回,新生,再来,异世界,穿越,重生,转生异世界,复活他人,,,,,,,
Duelist,决斗者,决斗,对决,胜负,决斗场,单挑,一对一,决斗都市,游戏王,决斗者之王,决斗,,,,,,,
MementoDisposer,遗品整理士,遗品,遗物,遗物整理,记忆,思念,残响,逝者的物品,遗品整理师,整理,断舍离,,,,,,,
Interpreter,翻译,翻译,通译,语言,异国,翻译机,谷歌翻译,信达雅,翻译官,助恋人聊天,人工翻译,,,,,,,
Hierarch,教主,教主,教祖,创立者,创始人,宗教领袖,邪教,发展信徒,教皇,教义,创立教派,,,,,,,
Dreamer,蝴蝶,蝴蝶,梦,梦蝶,庄周梦蝶,破茧成蝶,羽化,化茧成蝶,觉醒成狼人,蝴蝶效应,蝶,,,,,,,
VariationFox,歪狐,歪狐,歪理,扭曲,异形,异常,变异,歪曲,歪门邪道,奇形怪状,异形狐,,,,,,,
Assassin,暗杀者,刺客,暗杀,杀手,暗刃,影杀,匿影,致命一击,刺客信条,致命杀手,暗杀,,,,,,,
Shadow,影法师,影,影子,阴影,暗影,影分身,形影不离,影法师,影子军团,影之军团,影魔,,,,,,,
AttractiveWoman,美女,美女,绝世美女,佳人,丽人,祸水,倾国倾城,美人图,闭月羞花,沉鱼落雁,四大美人,,,,,,,
DestroyCraziest,破坏的狂人,破坏,毁灭,崩坏,破坏神,破坏者,拆迁办,拆迁,毁灭者,破坏狂,破坏一切,,,,,,,
Actress,女狐,女狐,女性,狐狸精,红颜祸水,妖女,女演员,戏子,戏中戏,红颜,祸水,,,,,,,
Secretary,秘书,秘书,助理,辅佐,辅佐官,辅佐者,加一票,秘书酱,总秘,机要秘书,秘书处,,,,,,,
ResidualHaunting,地缚灵,地缚灵,缚地灵,无法成佛,残念,留恋,未了,执念,地缚,徘徊不去,附身,,,,,,,
HouseKeeper,保姆,保姆,家政,保姆,照顾者,管家,育儿,保母,家政妇,保姆车,,,,,,,,
RainyBoy,雨男,雨男,雨神,降雨,雨云,雨天,雨季,梅雨,下雨天,雨一直下,阻挡占卜,,,,,,,
WerewolfDescendant,人狼的末裔,末裔,狼末裔,狼之血脉,狼的继承者,狼裔觉醒,狼血觉醒,狼化,觉醒者,逆转狼,末狼,,,,,,,
DarkPsychic,黑暗灵媒师,暗黑灵媒,黑暗,闇,黑,暗黑,影之灵媒,黑暗通灵,暗影灵媒,幽灵杀手,,,,,,,,
Itako,潮来巫女,潮来,巫女,口寄,降灵,灵媒,通灵,灵,伊豆,口寄せ,,,,,,,,
Perfidious,背信者,背信,背叛,不信,出卖,不讲义气,背信弃义,叛徒,二五仔,反骨仔,背叛者,,,,,,,
Heretic,异端者,异端,邪教,异端审问,宗教裁判所,火刑,异教徒,魔女,异端审判,宗教异端,,,,,,,,
NormalWolfDiviner,人狼幻术师,幻术,幻影,海市蜃楼,幻觉,障眼法,幻术师,幻影,虚幻,欺诈,欺骗,,,,,,,
Waiting,尚未分配,待定,空,空白,无人,等待中,未分配,暂定,保留,空位,待定席,等待,,,,,,
Watching,观战者,观战,旁观,看戏,观众,旁观者,吃瓜,围观,群众,路人,观察家,,,,,,,
SpaceWerewolfCrew,宇航员,宇航员,太空人,宇宙,太空,船员,航天员,星际,飞船,太空漫步,宇宙航行,,,,,,,
SpaceWerewolfObserver,观察者,观察,观测,旁观,监视,观察员,监视员,目击者,见证者,旁听,观察家,,,,,,,
Friend,恋人状态,恋人,情侣,爱,情,恋情,爱情,相恋,热恋,相思,相愛,,,,,,,
CultMember,教会信者,信徒,教徒,信者,信仰,追随者,宗教徒,虔诚,皈依,信教,信仰,,,,,,,
WolfMinion,狼的仆从,仆从,眷属,部下,从者,使魔,爪牙,手下,狗腿子,走狗,奴才,跟班,,,,,,
HolyProtected,圣痕者,圣痕,神圣,庇护,保佑,祝福,守护,圣洁,神圣加护,神的庇护,庇护,,,,,,,
Drunk,醉鬼,醉鬼,醉酒,烂醉,酩酊,醉汉,酒精,醉酒驾车,酒鬼,酒精中毒,一醉方休,宿醉,,,,,,
Counseled,更生者,更生,改过自新,回归,复原,重生,改造,洗心革面,重新做人,改邪归正,更生,,,,,,,
KeepedLover,手玉,手玉,宠物,玩物,拘束,束缚,被包养,禁脔,金丝雀,笼中鸟,玩偶,,,,,,,
FoxMinion,狐凭,狐凭,狐狸,凭依,附身,被狐狸缠上,狐仙,狐狸精,妖狐,被附身,附身,,,,,,,
GotChocolateTrue,本命,本命,真爱,真正的,真实,本命年,真爱巧克力,命中注定,真正的爱,真爱无敌,本命,,,,,,,
FanOfIdol,粉丝,粉丝,迷,信者,追星,饭,偶像迷,粉头,铁粉,死忠粉,追星族,粉丝团,,,,,,
Enemy,宿敌,宿敌,敌人,对手,天敌,敌对,死敌,对手,敌手,仇敌,敌对势力,天敌,,,,,,
LoreleiFamilia,罗蕾莱眷属,眷属,家族,追随者,信徒,教团,眷族,家族成员,追随者,信奉者,罗蕾莱教,,,,,,,
MoonPhilia,月狂病,月狂,满月,月夜,发狂,疯狂,月光族,月下狂想,月之狂,满月狂人,月光,,,,,,,
Bonds,羁绊,羁绊,绊,纽带,联系,关系,因缘,缘分,连结,羁绊之力,纽带,,,,,,,
Decider,决定者,决定者,决定,抉择,决断,裁定者,决定之人,决策者,拍板,决断力,最终决定,,,,,,,
Authority,权力者,权力者,权威,统治者,支配者,当权者,掌权者,上位者,权力,统治阶级,权威,,,,,,,
Chemical,混合职业,混合,化学,组合,融合,复合,混合体,化学反应,融合,组合技,混合物,化合物,,,,,,
FrontOni,前鬼,前鬼,前,先,先鬼,先锋,前锋,先行,前头,前面,第一,,,,,,,
BackOni,后鬼,后鬼,后,后鬼,后卫,后方,殿后,后面,后头,最后,背後,,,,,,,
Hooligan,暴徒,暴徒,流氓,暴走族,暴力,暴动,暴举,暴民,暴走,流氓团伙,制造暴乱,,,,,,,
HooliganAttacker,暴动者,暴动者,袭击者,攻击者,袭击,进攻,攻击,打手,凶手,施暴者,暴力殴打,,,,,,,
HooliganGuard,保安,保安,警备,警卫,护卫,保镖,安全,守卫,守备,警卫员,保安队,,,,,,,
LurkingMad,潜伏者,潜伏者,潜伏,埋伏,潜行,潜入,隐匿,躲藏,隐藏,暗中观察,埋伏,潜伏,,,,,,
FoxMatchmaker,05q,,,,,,,,,,,,,,,,,
